Reference S. 158,Latin text,,Type,,Weight,,,,Origin,Va1 (a.c.),Va1 (p.c.),Va2 (a.c.),Va2 (p.c.),Va3 (a.c.),Va3 (p.c.),Va4 (a.c.),Va4 (p.c.),Va5 (a.c.),Va5 (p.c.),Va6 (a.c.),Va6 (p.c.),Vb1 (a.c.),Vb1 (p.c.),Vb2 (a.c.),Vb2 (p.c.),Vb3 (a.c.),Vb3 (p.c.),Vb4 (a.c.),Vb4 (p.c.),Vb5 (a.c.),Vb5 (p.c.),Vb6 (a.c.),Vb6 (p.c.),Vb9 (a.c.),Vb9 (p.c.),Vb10 (a.c.),Vb10 (p.c.,Vb11 (a.c.),Vb11 (p.c.),Vb12 (a.c.),Vb12 (p.c.),Vb13 (a.c.),Vb13 (p.c.),Vb14 (a.c.),Vb14 (p.c.),Vb15 (a.c.),Vb15 (p.c.),Vb17 (a.c.),Vb17 (p.c.),Vb18,Vb19 (a.c.),Vb19 (p.c.),Vb20 (a.c.),Vb20 (p.c.),Vb21 (a.c.),Vb21 (p.c.),Vb23 (a.c.),Vb23 (p.c.),Vb24 (a.c.),Vb24 (p.c.),Vb25 (a.c.),Vb25 (p.c.),Vb26 (a.c.),Vb26 (p.c.),Vb27 (a.c.),Vb27 (p.c.)
,Reference text (Maur),Variant,Type,"Context (Bibl., fixed express., etc)",Not easily corrected,Not easily independently made,Length (impact on text),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Titles not yet incorporated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,/,OM,,1,0,1,2,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,
11.2,qui1,quis,GR,,0,0,0,0,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,
11.3,uincit,uicit,GR,,0,0,0,0,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,1,0,0,$,0,$,0,$,0,$,0,$,
11.4,laedit nos,nos laedit,INV,,1,1,1,3,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$
11.5,non laedit nos,nos non laedit,INV,,1,1,2,4,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,$,0,$,0,1,$,1,$,0,$,0,$,0,$,0,$,0,$,0,$
11.6,quis est,/,OM,,1,1,2,4,,0,$,0,$,0,$,0,$,1,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$
11.7,qui_2,/,OM,,0,1,1,2,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,1,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$
11.8,qui uincit omnipotentem,qui uincit omnipotentem qui uincit omnipotentem,REP,,0,1,2,3,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,1,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$
12.1,reluctari,reluctare,GR,,0,0,0,0,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,1,0,0,$,0,$,0,$,0,$,0,$
12.2,nocet,nocebit,GR,,1,0,0,1,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,0,$,0,$,0,$,0,0,$,1,$,0,$,0,$,0,$,0,$,0,$,0,$
12.3,est,est illud,ADD,,1,1,1,3,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$
12.4,quod et,quando,LEX,,1,1,1,3,,1,$,0,$,1,$,0,$,1,$,1,$,0,$,0,$,0,$,0,$,0,$,0,$,1,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$
12.5,quod,quando,LEX,,1,1,1,3,,0,$,1,$,0,$,1,$,0,$,0,$,1,$,1,0,1,$,1,$,1,$,1,$,0,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,0,1,$,1,$,1,0,0,$,0,$,0,$,0,$,0,$
12.6,adhuc,ante,LEX,,1,1,1,3,,0,$,0,$,0,$,0,$,0,$,0,$,1,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$
12.7,saulo,saeculo,LEX,ABBR,0,1,0,1,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$
13.1,calcitrare,calcitare,SPEL,BIBL,0,0,0,0,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$
14.1,qui,quid,GR,,0,0,0,0,,1,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$
,,quia,LEX,,1,0,0,1,,0,$,1,$,1,$,1,$,1,$,1,$,0,$,0,$,0,$,1,$,1,$,0,$,0,$,1,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$
14.2,aduersus,contra,LEX,,1,0,1,2,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$
,,auersus,SPEL,,0,0,0,0,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,1,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,
14.3,se,/,OM,,0,0,0,0,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,0,$,0,$,0,$,1,0,1,$,1,0,0,$,0,$,0,0,$,0,$,1,0,0,$,0,$,0,$,0,$,0,$,
14.4,se ipsum,semetipsum,LEX,,1,0,0,1,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,
15.1,insignes,insignis,GR,,0,0,0,0,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,1,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,
,,insignes in his,ADD,,1,1,1,3,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,$,0,$,0,1,1,$,0,$,0,$,1,$,1,$,
15.2,quae,qui,GR,,0,0,0,0,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,$,0,$,0,$,0,$,0,$,0,$,1,$,1,$,
15.3,in his autem quattuor rebus quas commendauit apostolus insignes quae pertinent ad eos pro quibus est deus id est praedestinatione uocatione iustificatione glorificatione,/,OM,,1,1,2,4,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,0,$,1,0,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,AR 55 alia manu?
16.1,pertinent,pertineant,GR,,1,0,0,1,,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,0,1,$,1,$,0,$,1,$,$,1,1,$,$,1,1,$,0,1,$,1,$,1,0,0,$,0,$,0,$,0,$,0,$,
16.2,pertinent ad eos,ad deum pertinent,INV,,1,1,2,4,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,
